name,logo,banner,description,tagLine,followerCount,website,domain,location,companyAddress,phone,industry,companySize,headquarters,founded,specialties,mainCompanyID,linkedinID,salesNavigatorLink,employeesOnLinkedIn,companyName,query,timestamp,companyUrl,error,isClaimable
EastLaws (IGLC) - Official,https://media.licdn.com/dms/image/C4D0BAQGxFFBvj7aewA/company-logo_200_200/0/1661362586683?e=1691625600&v=beta&t=OhvHBSVOEE7lE461YKRzc9MWTXN3Wig4S1nNtiynccE,https://media.licdn.com/dms/image/D4D1BAQGt8EYRY3kfmQ/company-background_10000/0/1663595363909?e=1683907200&v=beta&t=mFsgckXXl3kgSxoe1Ka3jXoSoXRlBgTuvVrP90zrLQ4,"EastLaws (IGLC) was founded in Alexandria, Egypt in 1995 by Counselor Yasser Mahmoud Nassar and specialized in Lawyering and Legal Information Technology Services.
 EastLaws offers legal research services for legal professionals, law enforcement professionals, governments, corporates and academics.
EastLaws' database contains current 19 Arab Countries statutes and regulations and a large volume of published and unpublished Rulings dating from 1890s to the present. In addition, EastLaws Library contains a wide array of specialized databases tailored and adapted to specific areas of legal practice.
With a database of millions of legal documents and records, EastLaws offers a wealth of legal information allowing legal professionals to keep up to date with the most recent developments in their specialties.

تأسست شبكة قوانين الشرق عام 1995 بمدينة الإسكندرية بجمهورية مصر العربية، أسسها الأستاذ / ياسر
 محمود نصار المحامي بالنقض، عاونه في ذلك فريق عمل متكامل من الاستشاريين، محامين، مهندسين، مدخلي بيانات، الباحثين القانونيين وتخصصت شبكة قوانين الشرق في:

حققت شبكة قوانين الشرق انتشارا واسعاً في مجال تكنولوجيا المعلومات القانونية على المستوى العربي والمحلي داخل الوسط القانوني بجميع مؤسساته ومستوياته و انتجت اكثر من منظومة لخدمة الباحثين القانونين والقضاة 
 والمحامين وغير ذلك من الفئات و جميع خدماتها متاحة على موقعها الإلكترونى",Providing Lawyering & Legal Information Technology Services.,826,https://eastlaws.com,https://eastlaws.com,Alexandria,"33 Safeya Zaghloul st, El Raml Station, Alexandria, Egypt 21512, EG | 26 A Sheriff street, Down Town, Immobilla buildin, Cairo, Down Town  EG",+20 239 304 14,Legal Services,51-200 employees,"Alexandria, Egypt",1995,"Legal Information, Legal Databases, and law",10106459,10106459,https://www.linkedin.com/sales/company/10106459/,20,EastLaws (IGLC) - Official,https://www.linkedin.com/company/10106459/,2023-05-05T15:24:54.427Z,https://www.linkedin.com/company/eastlaws/,,
Netways,https://media.licdn.com/dms/image/C4D0BAQF1ktZ-7rBxjA/company-logo_200_200/0/1519856696351?e=1691625600&v=beta&t=hmyQh2fm8sm_VvL_5ehOs9Hfo-rhaFeitrpO96tfKXM,https://media.licdn.com/dms/image/C4D1BAQGk4nSaNioguQ/company-background_10000/0/1519799670244?e=1683907200&v=beta&t=VWNMZNrImhBINw_BS74UFj0R4Dt_Qr2K-z55NM6esWA,"Netways delivers consultancy and high-quality business technology solutions to governments and organizations in all industries. We aim at exponentially accelerating intelligent evolution of industries through digital transformation of human experience, mind collaboration and thing interaction to attain optimal productivity and foster collective agile innovation.

Netways has been a Microsoft Gold Certified Partner for more than 15 years of proven expertise in implementing turn-key solutions, based on Microsoft’s latest technologies. We serve more than 2,500 customers through our worldwide locations in the MEA (Lebanon, Jordan and Egypt), KSA (Riyadh, Jeddah and Khobar), Gulf (UAE, Bahrain and Qatar) and North America (Canada) Regions.",Intelligent Digital Transformation ,16542,http://www.netways.com,netways.com,Riyadh,"Olaya Street, Riyadh, SA",+1 855 6389297,IT Services and IT Consulting,"501-1,000 employees",,1996,"Business Technology Solutions, Unified Communications, Portals, SharePoint, Collaboration, Unified Interface, Insights, and Intelligent Digital Transformation",33754,33754,https://www.linkedin.com/sales/company/33754/,494,Netways,https://www.linkedin.com/company/33754/,2023-05-05T15:27:45.549Z,https://www.linkedin.com/company/netways/,,
UltraTeb,https://media.licdn.com/dms/image/C4E0BAQEKezxwCDSgzQ/company-logo_200_200/0/1629037800254?e=1691625600&v=beta&t=hOIFiRtrxoG7K1VEu-DruMw4lRyGKwe5KpBRJSpzQuc,https://media.licdn.com/dms/image/C4E1BAQGFrez9A03fVA/company-background_10000/0/1629037724776?e=1683907200&v=beta&t=P2QvHrqbeFvMnZCtnTXoJyp32ubRLpSZC2iYhjPGOKc,"UltraTeb is a Fin-Tech B2B Ecommerce for medical consumables and supplies. We aim to satisfy the expanding market of medical supplies, while also simplifying the financial and logistic cycle. This helps you focus on issues that really matter in running your medical business!",,788,http://www.ultrateb.com,ultrateb.com,El Mohandessin,"11 Syria Street, El Mohandessin, Al Jizah 12511, EG",,Hospitals and Health Care,51-200 employees,"El Mohandessin, Al Jizah",2020,,71962328,71962328,https://www.linkedin.com/sales/company/71962328/,12,UltraTeb,https://www.linkedin.com/company/71962328/,2023-05-05T15:27:52.795Z,https://www.linkedin.com/company/ultra-teb/,,
e-finance,https://media.licdn.com/dms/image/C4E0BAQFyUdMZoWOsUA/company-logo_200_200/0/1632146223364?e=1691625600&v=beta&t=bEzFTghN0gZuCTOQu9EQy_SkhHmHtjemP3pRLh2vtn8,https://media.licdn.com/dms/image/C4E1BAQGj8QY5PY0T1A/company-background_10000/0/1633948387775?e=1683907200&v=beta&t=aRfNeahzXwzKxFn4T-GL2qlogGpXF3cdqQAw7IVN-GU,"eFinance is a pioneer national developer of digital payments infrastructure, FinTech leaders and architects of digital space, known as the Digital Partner of Choice for Egypt’s growing digital economy and financial digital transformation",Digital Partner of Choice,111465,https://www.efinance.com.eg,https://efinance.com.eg,Cairo-Alex Road,"A3 - B82, Cairo-Alex Road, 6th of october 12577, EG",+20235317334,Financial Services,"1,001-5,000 employees","Cairo-Alex Road, 6th of october",2005,"Outsourcing Financial Services, Electronic Payment Solutions and Business Integration & Optimization services to the government and financial sectors, Electronic Payment and Collection Gateway, Cloud Services, and fintech",251772,251772,https://www.linkedin.com/sales/company/251772/,1159,e-finance,https://www.linkedin.com/company/251772/,2023-05-05T15:27:59.839Z,https://www.linkedin.com/company/e-finance/,,
Bdaiat Technologies,https://media.licdn.com/dms/image/C560BAQHhQu9qmDgO7A/company-logo_200_200/0/1538052210804?e=1691625600&v=beta&t=VXF-xYgpdMZ-j-Z6aImpzWKfZC3T-v2TzLvuv16WpZQ,https://media.licdn.com/dms/image/C561BAQGN7B3FYfSJ_w/company-background_10000/0/1535670453766?e=1683907200&v=beta&t=_wi_iZRihYqhdWGduxDki9YoUniYHXSSy-aD4wfRbWk," Bdaiat was started in early 2015. Our intentionally misspelled name reflects the creativity of the team members and their ability to create well thought out, quickly delivered content, similar to the speed and smartness of a fox. Most importantly that we have the skills that fit with nowdays technologies for making the success of your business. 
",Software Company,247,http://www.bdaiat.com,bdaiat.com,Gleem,"10 Mohamed Mokbel Street, Gleem, Alexandria  EG",0115 290 7995,IT Services and IT Consulting,11-50 employees,"Gleem, Alexandria",2015,,18789707,18789707,https://www.linkedin.com/sales/company/18789707/,6,Bdaiat Technologies,https://www.linkedin.com/company/18789707/,2023-05-05T15:28:07.666Z,https://www.linkedin.com/company/bdaiat/,,
Egyptian Linear Alkyl Benzene Company,https://media.licdn.com/dms/image/C4D0BAQFXu_n53Gts4w/company-logo_200_200/0/1519952256138?e=1691625600&v=beta&t=EEocp6m3fI6ZfoO6TeqX90pWE6za3QzloGn_A4jO1IU,,"The Egyptian Linear Alkyl Benzene Co. (ELAB) is an Egyptian Shareholding Company established in 23 November 2003 according to the investment law No.8 of 1997, to produce Linear Alkyl Benzene licensed by UOP Technology for a capacity of 100000 ton /year.",,1455,http://www.elab-eg.com,elab-eg.com,Alexandria,"El Sad El Aly Street , Beside Acpa Company, Wadi El Amar, Alexandria, Alexandria Governorate  EG",,Chemical Manufacturing,201-500 employees,"Alexandria, Alexandria Governorate",2003,,6710841,6710841,https://www.linkedin.com/sales/company/6710841/,60,Egyptian Linear Alkyl Benzene Company,https://www.linkedin.com/company/6710841/,2023-05-05T15:28:14.467Z,https://www.linkedin.com/company/egyptian-linear-alkyl-benzene-company/,,
Al Amin Technological Systems S.A.E,https://media.licdn.com/dms/image/C4D0BAQHOgDLAG3MxmQ/company-logo_200_200/0/1519866612542?e=1691625600&v=beta&t=Um4KD2F3BZu7Xj1qJvj5iL28SAiTXzvp1gTPtDFjiWM,,"AL Amin Technological Systems was found in 1980 under an old name “Al Amin Company (Eng. Hesham & Tarek Abdel Rahman Amin)”.  In 1998 the statue of the company was then changed to become an Egyptian Shareholding Company “Al Amin Technological Systems”.

Al Amin is one of the leading Egyptian establishments that is specialized in the field of office and banking equipments.  Our authorized capital amount is over 50 Million Egyptian pounds while its invested capital amount is approximately 20 Million Egyptian pounds, which shows the stability, solidarity and credibility of our company.

Al Amin Company offers different machines that can fulfill the different needs of different clients and customers. We provide security printers, cash sorting equipment, software solution, Cash counters, Coin Counters, banking equipment credit card imprinters, time and attendance products, security gates, document shredders, and is a leading manufacturer of plastic cards either master cards or Visa cards.",,1531,http://www.alamintech.com,alamintech.com,Cairo,"6 Merryland Buildings Gesr El Suez Street,, Cairo, Cairo Governorate  EG",,Banking,201-500 employees,"Cairo, Cairo Governorate",1980,"Banking Equipment, Office Equipment, and Security",9069458,9069458,https://www.linkedin.com/sales/company/9069458/,80,Al Amin Technological Systems S.A.E,https://www.linkedin.com/company/9069458/,2023-05-05T15:28:22.179Z,https://www.linkedin.com/company/al-amin-technological-systems-s-a-e/,,
Ribbon Health,https://media.licdn.com/dms/image/C4E0BAQFzEMXXiKzAHA/company-logo_200_200/0/1668018129670?e=1691625600&v=beta&t=zmx9YPo2BsksPPlfvSmlBjuH9GTwKYWB3U24j_qZiGM,https://media.licdn.com/dms/image/D4E1BAQERkbFtk1tOkQ/company-background_10000/0/1668017638542?e=1683907200&v=beta&t=Nr-RlFxsoMGESLo-q5upAj7gd2TCtWKcBW3wtIscclc,"𝐀𝐛𝐨𝐮𝐭 𝐔𝐬
At Ribbon, we’re building the infrastructure to transform billions of care decisions.

Our data platform fuels healthcare enterprises with actionable provider information, including insurance coverage, prices, and performance. By partnering with Ribbon, you can empower people to make the most informed decisions about their care by finding trusted, affordable providers.

Together, we can create a healthier future where people receive exceptional care.

--

𝐈𝐧𝐭𝐞𝐫𝐞𝐬𝐭𝐞𝐝 𝐢𝐧 𝐣𝐨𝐢𝐧𝐢𝐧𝐠 𝐮𝐬 𝐚𝐭 𝐑𝐢𝐛𝐛𝐨𝐧?
Make your next career decision the best one. We are committed to helping you make your next best career decision. We know this is a lofty goal. That’s why we constantly revisit this commitment to make sure that every single person who walks through our doors feels that Ribbon is a partner in their journey. Take a look at our open Jobs to learn more about our mission, values, benefits, and perks!","Data platform with actionable provider information including insurance coverage, prices, and performance.",6790,http://www.ribbonhealth.com,ribbonhealth.com,New York,"New York,  10013, US",,Software Development,51-200 employees,,2016,"Digital Health, API, Provider Directory, Healthcare Data, Predictive Analytics, Machine Learning, Doctor Data, Health Insurance, Cost Transparency, Primary Care, Platform, Care Navigation, Referral Management, Provider Search, and Healthcare Quality",11689635,11689635,https://www.linkedin.com/sales/company/11689635/,100,Ribbon Health,https://www.linkedin.com/company/11689635/,2023-05-05T15:28:29.244Z,https://www.linkedin.com/company/ribbonhealth/,,
Engineeius,https://media.licdn.com/dms/image/C4D0BAQGSnCD7xftcIw/company-logo_200_200/0/1570188210808?e=1691625600&v=beta&t=IjS85auG_Cveb07e_r8Q-iIa3IyJvmTCApAQ0L_tmBo,https://media.licdn.com/dms/image/C4D1BAQGyTDP1y1N38g/company-background_10000/0/1570188092852?e=1683907200&v=beta&t=zv_FRXRH_M5VH_K7wCXxuhI8ct5iFTP54N17S4Sm2WU,"We specialize in developing after-school programs and camps in STEM (Science, Technology, Engineering and Math) for kids and teens (Grades K to 12) in a highly engaging and fun environment.  We offer our programs under the following themes:  Engineering, Robotics, Coding, Game and App Programming, Digital Media, and Math.

We build on more than 20 years of experience in developing learning centers of famous concepts and on supporting entrepreneurs in many countries to launch and grow their learning centers.

Our Mission: In every community we will operate, we enable young generations to explore the concepts of engineering, technology, science, and math naturally, in a fun engaging way and in a safe and convenient environment.

Our Vision: To create a global network of successful learning centers providing new generations with engaging innovative programs in Engineering, Science, Robotics, Technology and Math.

Our Core Values: Innovation – Care – Respect – Accountability – Efficiency – Teamwork

Our Philosophy: Every child should be given the opportunity to explore the wonderful world of engineering, technology, science, and math in an encouraging and safe environment and every child should be given the chance to unleash the engineer, the programmer, the innovator and the genius within.",Engineers of tomorrow start here today,2589,http://www.engineeius.com,engineeius.com,Montreal,"2211 Rue Metcalfe, Vaudreuil - Dorion, Suite 100 , Montreal, Quebec J7V 9H3, CA",+1-514-775-4840,Education Administration Programs,11-50 employees,"Montreal, Quebec",2014,"STEM, After School Programs, Kids and Young Adults, Engineering-themed Programs, Coding, Robotics, Game and App Programming, Math, and Digital Media",5224654,5224654,https://www.linkedin.com/sales/company/5224654/,57,Engineeius,https://www.linkedin.com/company/5224654/,2023-05-05T15:28:37.750Z,https://www.linkedin.com/company/engineeius/,,
Bloomberg,https://media.licdn.com/dms/image/C4D0BAQF0uyE7RGKDGg/company-logo_200_200/0/1531146047122?e=1691625600&v=beta&t=0RDvJPsVaWI-wLbZ49_xN63x-0cszP2_G4cL9EpcN8k,https://media.licdn.com/dms/image/D4E1BAQHusKycpuZcIA/company-background_10000/0/1673965733887?e=1683907200&v=beta&t=CwiOeto2IU-ceHkk5Ggqmzw6zO_OfIsmq7SzUVNRKp0,"Bloomberg is the world's primary distributor of financial data and a top news provider of the 21st century. A global information and technology company, we use our dynamic network of data, ideas and analysis to solve difficult problems every day. Our customers around the world rely on us to deliver accurate, real-time business and market information that helps them make important financial decisions.  

At Bloomberg, we are guided by four core values that are the foundation of our continued success: innovation, collaboration, customer service and doing the right thing. 

We harness the power of data and technology to organize, understand and improve our world. 

It's our purpose. Come find yours.
",Think Bigger.,1682790,http://bloomberg.com/company,bloomberg.com/company,New York,"731 Lexington Ave., New York, 10022, US",,Financial Services,"10,001+ employees","New York, NY",,"Financial Data, Analysis, Software Engineering, Machine Learning, News, and Media",2494,"2494,6918",https://www.linkedin.com/sales/company/2494/,24910,Bloomberg,https://www.linkedin.com/company/2494/,2023-05-05T15:28:45.402Z,https://www.linkedin.com/company/bloomberg/,,
