Title,Proficiency,User
Arabic,Native or bilingual proficiency,%D9%90%D9%90amiraelmergawy
English,Professional working proficiency,%D9%90%D9%90amiraelmergawy
Arabic,Native or bilingual proficiency,3omarbadr
English,Professional working proficiency,3omarbadr
Arabic,Native or bilingual proficiency,a-mohsen
English,Full professional proficiency,a-mohsen
English,Professional working proficiency,a-saeed-h
English,,aabdelsattaar
Arabic,Native or bilingual proficiency,aashrafh
English,Professional working proficiency,aashrafh
Arabic,Native or bilingual proficiency,abanoub-labib-706b1a50
English,Professional working proficiency,abanoub-labib-706b1a50
French,Elementary proficiency,abanoub-labib-706b1a50
Arabic,Native or bilingual proficiency,abdallahamdy
English,Full professional proficiency,abdallahamdy
Arabic,Native or bilingual proficiency,abdelbaseer-shaheen-b078721a2
English,Full professional proficiency,abdelbaseer-shaheen-b078721a2
Arabic,Native or bilingual proficiency,abdelhameed-hassan
English,Full professional proficiency,abdelhameed-hassan
German,Limited working proficiency,abdelhameed-hassan
Arabic,Native or bilingual proficiency,abdelmotey
Chinese,Elementary proficiency,abdelmotey
English,Full professional proficiency,abdelmotey
English,,abdelnazir
Arabic,,abdelrahman-hammam-7b090b9b
English,,abdelrahman-hammam-7b090b9b
German,Elementary proficiency,abdelrahman-hammam-7b090b9b
Arabic,Native or bilingual proficiency,abdelrahman-mohamedd
English,Professional working proficiency,abdelrahman-mohamedd
Spanish,Elementary proficiency,abdelrahman-mohamedd
Arabic,Native or bilingual proficiency,abdelrahman-osama-074758246
English,Professional working proficiency,abdelrahman-osama-074758246
German,Elementary proficiency,abdelrahman-osama-074758246
Arabic,Native or bilingual proficiency,abdelrhman-elsaadi-41773070
English,Professional working proficiency,abdelrhman-elsaadi-41773070
English,Limited working proficiency,abdelrhman-mohamed-ashraf-7bb43410b
العربية,Full professional proficiency,abdelrhman-mohamed-ashraf-7bb43410b
Arabic,Full professional proficiency,abdelrhman-mostafa-087808168
English,Full professional proficiency,abdelrhman-mostafa-087808168
French,Full professional proficiency,abdelrhman-mostafa-087808168
English,,abdelrhmanafifi
German,,abdelrhmanafifi
Italian,,abdelrhmanafifi
Arabic,Full professional proficiency,abdofawzi5
English,Professional working proficiency,abdofawzi5
Italian,Full professional proficiency,abdofawzi5
Arabic,Native or bilingual proficiency,abdolrhman
English,Professional working proficiency,abdolrhman
German,Elementary proficiency,abdolrhman
Arabic,Native or bilingual proficiency,abdullah-alhadidi
English,Full professional proficiency,abdullah-alhadidi
Arabic,Native or bilingual proficiency,abdullahadel41
English,Full professional proficiency,abdullahadel41
Arabic,Native or bilingual proficiency,abdulrahmanmahmoud
English,Professional working proficiency,abdulrahmanmahmoud
Arabic,Native or bilingual proficiency,adel-el-nabarawy-25a3391b7
English,Professional working proficiency,adel-el-nabarawy-25a3391b7
English,Full professional proficiency,adel-m-aek
Arabic,Native or bilingual proficiency,adham-mamdouh-1941b518b
English,Professional working proficiency,adham-mamdouh-1941b518b
Arabic,Native or bilingual proficiency,aelrewaidy
English,Full professional proficiency,aelrewaidy
Arabic,,aessam
English,Full professional proficiency,aessam
Arabic,,ahmad-adel-elkilany-3b48a5109
English,,ahmad-adel-elkilany-3b48a5109
Arabic,Native or bilingual proficiency,ahmad-gadallah-33060a17a
English,Full professional proficiency,ahmad-gadallah-33060a17a
Arabic,Native or bilingual proficiency,ahmaddosama
English,Full professional proficiency,ahmaddosama
French,Elementary proficiency,ahmaddosama
Arabic,Native or bilingual proficiency,ahmdelemam
English,Professional working proficiency,ahmdelemam
Arabic,,ahmed-abdelmalek
English,,ahmed-abdelmalek
French,,ahmed-abdelmalek
