name,logo,banner,description,tagLine,followerCount,location,companyAddress,industry,companySize,founded,specialties,mainCompanyID,linkedinID,salesNavigatorLink,employeesOnLinkedIn,companyName,query,timestamp,companyUrl,website,domain,phone,headquarters,error,isClaimable
Bookra,https://media.licdn.com/dms/image/C4D0BAQHngjbUI1w_PQ/company-logo_200_200/0/1519922083154?e=1691625600&v=beta&t=xg5lMd0IBMlNWJibTRxwZYxXjhVPeC19EZr3HiiydcY,,"Bookra is an Edutainment Joint-stock company that was merged from the founders of Barakah agency & 138 pyramids in October 2015 where the first was established in Giza in September 2010 as a partnership company.

Our mission is to make a positive difference in the lives of children and youth,
They should be able to recognise, learn and articulate the importance of education and ethics through our amazing entertaining methods of learning from pre-school age to teenagers age.

Bookra aspects will be achieved through our two major fields; Edutainment and Animation Production.

We work together and win together
Our board of Directors Consists of Neveen Eltahri, Ismail Tharwat, Shereef Eldiwany, Yussef Assad,Yasmin Nassar, Marwa Gad, and Ayah Elarief

Our Products are divided to 2 main branches
-First the Edutainment: 4100 of Illustrations, 96 pages of Mini books, 1680 pages of Worksheets, 1173 pages of Teacher books, 1434 pages of Flash Cards, 25 games, 250 apps, 51 interactive e-learning CDs
-Secondly the Animation Production: 178 mins of 2D Digital Animation

We are a group of a devoted team with the standards of excellence in producing edutainment products that aim to teach the kids and youth in a fun and creative way that will give them a better education in an intellectual and entertaining experience through our amazing products that compete with the international market.
Bookra is your best choice for your intellectual edutainment innovated products.
Bookra..One Name, One Legend","We are an Ed-tech company, We do Games, Apps and Animation",177,Giza,"2 Hamad St, From Mohamed Metwaly Elsharawy, Maruotia, Fasel, Giza,   EG",Media Production,11-50 employees,2015,"Media Production, E-learning, Education k12, Animation production, and Game Design",10562639,10562639,https://www.linkedin.com/sales/company/10562639/,6,Bookra,https://www.linkedin.com/company/10562639/,2023-05-05T12:53:19.217Z,https://www.linkedin.com/company/bookra/,,,,,,
Google Developer Student Club Atatürk,https://media.licdn.com/dms/image/C4D0BAQFcZbkfsGMXBQ/company-logo_200_200/0/1599742209984?e=1691625600&v=beta&t=1fs4Px83am9spB98Twf5TC6z6ENMelXah_rENZL5mdk,https://media.licdn.com/dms/image/C4D1BAQEMjWxfMG0uMw/company-background_10000/0/1599742242577?e=1683896400&v=beta&t=v7BKsf4L5caAC4gZ_MGndR6i1lZAQWgFGlMpOhuRSrc,,,20,,,Software Development,201-500 employees,,,68515248,,https://www.linkedin.com/sales/company/68515248/,,Google Developer Student Club Atatürk,https://www.linkedin.com/company/68515248/,2023-05-05T12:53:31.684Z,https://www.linkedin.com/company/google-developer-student-club-atat%C3%BCrk/,,,,,,
Proleaders Institutes,https://media.licdn.com/dms/image/C4E0BAQFZi4GgWwqBSQ/company-logo_200_200/0/1603014069707?e=1691625600&v=beta&t=ikb8ODCm6xJgHEpI4HDM-8gF3gzIjpzSLigSYlsFjzw,https://media.licdn.com/dms/image/C561BAQE0pRQyzb1L6w/company-background_10000/0/1644680892672?e=1683896400&v=beta&t=CDC0HCULLdD9eQuaoy9uozfLg4xLZTtK68dQg1ad1t4,"تقدم معاهد بروليدرز خدمة تدريبية وتعليمية متميزة لمختلف الأعمار.
بالإضافة إلى دورات تأهيلية للتوفل والأيلتس ، و باقة من الدروات الإدارية ""​ حل المشكلات و إتخاذ القرارات ، الإدارية المتميرة ، التسويق من خلال مواقع التواصل الإجتماعى ، الموارد البشرية ، السكرتارية ،التسويق ، والحاسب الألى""​

تابعونا على مواقع التواصل الاجتماعى
https://www.facebook.com/proleadersco/?pnref=lhc
https://www.instagram.com/proleadersco/
https://twitter.com/proleadersco",Draw Your Future,804,jeddah,"شارع الستين بجدة, jeddah, saudi arabia  SA | شارع الحمدانية الفرعي - حي الحمدانية - جدة, jeddah,  saudi arabia 21577, SA | خريص افينيو، طريق خريص الفرعي، المنار حي, , Al Manar,, Riyadh 14221, Saudi Arabia, الرياض,  saudi arabia 14221, SA | مقابل البنك السعودي للاستثمار وبجوار درعه للعطور, , Abdullah Sulayman St, Al Fayha'a, Jeddah 22246, Saudi Arabia, جدة, saudi arabia 22246, SA",Education Administration Programs,51-200 employees,2009,,17955679,17955679,https://www.linkedin.com/sales/company/17955679/,41,Proleaders Institutes,https://www.linkedin.com/company/17955679/,2023-05-05T12:53:48.382Z,https://www.linkedin.com/company/proleaders-inistitutes/,https://proleadersco.com/,https://proleadersco.com,920003365,"jeddah, saudi arabia",,
,,,,,,,,,,,,,,,,,https://www.linkedin.com/company/13583576/,2023-05-05T12:54:10.427Z,,,,,,Unavailable company,
MSP Tech Club ASU,https://media.licdn.com/dms/image/C510BAQEqprtzVB3VKw/company-logo_200_200/0/1519890057047?e=1691625600&v=beta&t=Eq-rBjV6KTJajT6ViqFEw3S7WuVux72sHZjlKbEhIys,https://media.licdn.com/dms/image/C511BAQE-QyzYrmDfPg/company-background_10000/0/1519799581265?e=1683896400&v=beta&t=3FEGIVMaxUHAD4OGHjtnQnQ8G-KABIRPLxrSfotGxuM,"Where Learning is a priority, Passion is Fuel and Evolving is the Goal. 
Microsoft Student Partner Tech Club ASU is a student community program that promotes advanced technology through education, practice, and innovation.

It also provides students with both technical and non-technical sessions needed which is packing their lives with high level of skills and supporting their careers with opportunities.
Founded on November 19, 2008
",,405,Cairo,"Khalifa El-Maamon st, Abbasiya sq., Cairo, Cairo Governorate 11566, Cairo, Cairo 1156, EG",Software Development,11-50 employees,2008,"Computer Software , Xamarin,  Azure, and Marketing",25060409,25060409,https://www.linkedin.com/sales/company/25060409/,20,MSP Tech Club ASU,https://www.linkedin.com/company/25060409/,2023-05-05T12:54:24.444Z,https://www.linkedin.com/company/msp-tech-club-asu/,https://www.facebook.com/ASUTC/?hc_ref=ARShh2A2WBcr8SqONUzDRK6FHUimZn9S8qWtWolUDagbrFojN1JU0K3TNKxXZD8yM8Ec,https://facebook.com/ASUTC/?hc_ref=ARShh2A2WBcr8SqONUzDRK6FHUimZn9S8qWtWolUDagbrFojN1JU0K3TNKxXZD8yM8Ec,,"Cairo, Cairo",,
"Information Technology Industry Development Agency, ITIDA",https://media.licdn.com/dms/image/C4D0BAQEX7PRB6tAVbw/company-logo_200_200/0/1594020194113?e=1691625600&v=beta&t=mGjWQGTTzHaKTN66v6mFKJb7gBxRHIjuS3ZZLb_uQDI,https://media.licdn.com/dms/image/D4D1BAQEEU6TfRTArrw/company-background_10000/0/1677413761036?e=1683896400&v=beta&t=Gf8hkoA2mEjyPKErALqaIN4Xsu5p393eROT-qWYTms0,"The Information Technology Industry Development Agency, ITIDA, is the Egyptian business partner making sure that you get all the help you need. We are primarily concerned with building the capacities of the local IT companies, attracting and servicing multi-national IT companies, and growing a qualified, sustainable, and deployable talent pool. ITIDA adheres to a Public-Private Partnership mode to achieve the goals of the IT industry and create for you a business environment where cooperation is a salient feature.

ITIDA is the executive IT arm of the Ministry of Communications and Information Technology, MCIT, and is located in the heart of a modern business environment at the Smart Village. With local and international outreach, ITIDA plays a fundamental role as a one-stop-shop for foreign direct investors seeking to enhance their global offering using what Egypt has to offer and the competitive advantages of the country.

Led by, Acting Chief Executive Officer, Eng. Ahmed Elzaher, ITIDA extends a helping hand to your business and provides the Egyptian IT industry with the right tools to increase IT/ ITES exports. ITIDA is aware of the importance of innovation and talent to your prosperity and that is why we leave no stone unturned to ensure sustainable talent supply and great innovations.

Your voice will always be heard through the various local and international campaigns and events that ITIDA sponsors as your success will always be ours.",Just In Time For Egypt.,70932,Cairo,"B121, Cairo,  11656, EG",Government Relations Services,201-500 employees,2004,,2739637,2739637,https://www.linkedin.com/sales/company/2739637/,436,"Information Technology Industry Development Agency, ITIDA",https://www.linkedin.com/company/2739637/,2023-05-05T12:54:38.543Z,https://www.linkedin.com/company/itida/,http://www.itida.gov.eg,itida.gov.eg,16248,,,
,,,,,,,,,,,,,,,,,https://www.linkedin.com/company/42407920/,2023-05-05T12:55:01.092Z,,,,,,Unavailable company,
Shopbox,https://media.licdn.com/dms/image/C4D0BAQH6Sap1nLw8DQ/company-logo_200_200/0/1624260550548?e=1691625600&v=beta&t=ZMXlicxOxvCTuhoF9h-DgEz7wHcIaIuz6tmpOjs8hFA,https://media.licdn.com/dms/image/C4E1BAQEYuY-yqS5f0Q/company-background_10000/0/1629199084865?e=1683896400&v=beta&t=UZfSlyschaEGGIsVKlvseaLUSSzvhXON9nP4lNIcKmI,"Shopbox is an all-in-one POS solution for small and medium sized businesses. It allows you to receive card payments, optimize employee productivity, and maximize revenue. With Shopbox, you can manage multiple physical shops and obtain real-time sales updates by shop, employee, cash register or item no matter where you are. All this with one single app! Learn more about your customers, their purchase history, and preferences while also keeping track of individual product sales. This revolutionary small business app is easy-to-use and can be set up within minutes. 
To learn more visit our website www.shopbox.com ","Shopbox is a complete digital POS solution allowing instant access to inventory, reports and sales metrics on the go",1633,København NV,"Tranevej 16, 1. th, København NV,  2400, DK","Technology, Information and Internet",11-50 employees,2017,"POS, Finance, Customer club, Staff Management, Small Businesses, Booking, Administration, kassesystem, kasseapparat, Point of sale, and Point of sale",2481234,2481234,https://www.linkedin.com/sales/company/2481234/,39,Shopbox,https://www.linkedin.com/company/2481234/,2023-05-05T12:55:14.896Z,https://www.linkedin.com/company/shopbox/,https://www.shopbox.com,https://shopbox.com,+45 31 13 15 15,,,
IME,https://media.licdn.com/dms/image/C4D0BAQGwgDv6B_bcWQ/company-logo_200_200/0/1600761438008?e=1691625600&v=beta&t=5MOd2fYAKifVhtePLPZFyoaSxH3z31FSZonE8ToxQ-A,https://media.licdn.com/dms/image/C4D1BAQEsTztmcdI9vA/company-background_10000/0/1636968191579?e=1683896400&v=beta&t=VqgqAf7oe1JtIs9p7B_xyY4fTa2IrkY-QyL72clMQDE,"We are providing data management solutions including Data integration, Data Quality, Master Data Management, Data Archiving, Data Masking, Big Data, Test Data Management, Data Governance, Operational Data Store, Data Warehouse and Business Intelligence
 IME has customer in Saudi Arabia, United Arab Emirates, Qatar, Kuwait, Oman, Egypt, Iraq, Algeria, Tunisia, Morocco, Nigeria, Pakistan, Bangladesh and Maldives.
For more information about IME please visit us at 
infme.com","IME is a key market player in providing Data Management Solutions in the Middle East, Africa  and Asia.",2216,Dubai Internet City,"Al Shatha Tower #2408 , Dubai Internet City, Dubai 0097, AE",IT Services and IT Consulting,51-200 employees,2007,"Data integration, Data Quality, Master Data Management, Data Archiving, Data Masking, Big Data, Test Data Management, Data Governance, Operational Data Store, and Data Warehouse and Business Intelligence",27201654,27201654,https://www.linkedin.com/sales/company/27201654/,103,IME,https://www.linkedin.com/company/27201654/,2023-05-05T12:55:29.254Z,https://www.linkedin.com/company/infme.com/,http://www.infme.com,infme.com,,"Dubai Internet City, Dubai",,
Vibes,https://media.licdn.com/dms/image/C4E0BAQGffGJ_MZWpsw/company-logo_200_200/0/1625163988496?e=1691625600&v=beta&t=BstDBeAMy8E_zokCYsB1u87Jc-IDW4QyUQdWkBYCepE,https://media.licdn.com/dms/image/D561BAQHcpd4IiNl86w/company-background_10000/0/1681503187241?e=1683896400&v=beta&t=b9Zz-qNYhOlIHoQI4YImCy1FBFTHUI7ysp9cQfu25O0,"Vibes is the most trusted mobile engagement platform and Tier 1 Aggregator. We help brands grow, activate, and optimize consumer relationships by sending personalized mobile messages through every channel—SMS, MMS, Mobile Wallet, Push Notifications, and App Inbox. 

With over 25 years of mobile mastery and direct carrier connection, Vibes delivers a multi-channel solution at an enterprise scale. Brands like Ralph Lauren, Allstate, Redbox, Chipotle, Sephora, and The Container Store use Vibes’ mobile engagement platform to optimize consumer relationships with timely, relevant, and high-volume mobile messaging. 

Vibes is one of four Tier 1 Aggregators and the only one that combines the power of direct carrier connection with a mobile engagement platform, making us the most trusted service by both carriers and customers. Vibes Connect, our Tier 1 Aggregation Service, enables customers to manage their platform and database while Vibes provides message delivery, reporting, provisioning, and compliance support.

Follow us on other channels!
Instagram: @vibesmobile
Twitter: @Vibes",The Most Trusted Mobile Engagement Platform,13920,Chicago,"300 W. Adams St.,, Chicago, 60606, US",Mobile Computing Software Products,51-200 employees,1998,"SMS, MMS, Mobile Wallet, Push Notifications, App Inbox, Unified Mobile Engagement, and SMS & MMS Aggregation",25830,25830,https://www.linkedin.com/sales/company/25830/,214,Vibes,https://www.linkedin.com/company/25830/,2023-05-05T12:55:45.121Z,https://www.linkedin.com/company/vibes-media/,http://www.vibes.com,vibes.com,,"Chicago, IL",,
